id,determination_score,determination_id,event_id,date,deployment_id,deployment_name,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,species,bbox
554341,0.7334244251251221,11613,6880,Aug 30 2024,296,SYD,,,Not Lepidoptera,,,,,,,,"[62.0, 5374.0, 1615.0, 6944.0]"
554342,0.8863472938537591,11613,6880,Aug 30 2024,296,SYD,,,Not Lepidoptera,,,,,,,,"[8583.0, 5593.0, 9152.0, 6486.0]"
554343,0.896544098854064,11613,6880,Aug 30 2024,296,SYD,,,Not Lepidoptera,,,,,,,,"[7748.0, 5413.0, 9152.0, 6868.0]"
554344,0.12465006113052302,7368,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Eriopygini,Orthodes,Orthodes,Orthodes majuscula,"[7098.0, 6639.0, 7746.0, 6941.0]"
554345,1.0,4468,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Cnephasiini,Decodes,Decodes,Decodes basiplagana,"[4720.0, 4279.0, 4889.0, 4419.0]"
554346,1.0,6954,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Drepanoidea,Drepanidae,Drepaninae,Drepanini,Drepana,Drepana,Drepana arcuata,"[7269.0, 454.0, 7542.0, 932.0]"
554347,0.38195866346359203,6364,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fervidaria,"[492.0, 4219.0, 1154.0, 4718.0]"
554348,1.0,6954,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Drepanoidea,Drepanidae,Drepaninae,Drepanini,Drepana,Drepana,Drepana arcuata,"[5527.0, 3825.0, 5814.0, 4216.0]"
554349,0.31317868828773504,42,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria signaria,"[983.0, 869.0, 1403.0, 1144.0]"
554350,1.0,11314,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,,,,,"[5130.0, 865.0, 5308.0, 980.0]"
554351,1.0,6,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Campaeini,Campaea,Campaea,Campaea perlata,"[8079.0, 2835.0, 8504.0, 3439.0]"
554352,1.0,6929,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Argyriini,Argyria,Argyria,Argyria nivalis,"[261.0, 4039.0, 400.0, 4286.0]"
554353,0.225368753075599,66,6880,Aug 30 2024,296,SYD,Arthropoda,Insecta,Lepidoptera,Eriocranioidea,Eriocraniidae,Eriocrania,,,Eriocrania,Eriocrania semipurpurella,"[3241.0, 667.0, 3333.0, 847.0]"
581946,0.941288828849792,11613,7207,Jun 17 2024,297,AMA,,,Not Lepidoptera,,,,,,,,"[7127.0, 5248.0, 7385.0, 5471.0]"
581947,0.5253579020500181,11613,7207,Jun 17 2024,297,AMA,,,Not Lepidoptera,,,,,,,,"[7545.0, 5628.0, 9152.0, 6909.0]"
581948,0.9533441662788391,11613,7207,Jun 17 2024,297,AMA,,,Not Lepidoptera,,,,,,,,"[588.0, 3086.0, 823.0, 3571.0]"
581949,0.921069264411926,11613,7207,Jun 17 2024,297,AMA,,,Not Lepidoptera,,,,,,,,"[2866.0, 585.0, 3072.0, 1093.0]"
581950,0.06069183722138401,7524,7207,Jun 17 2024,297,AMA,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Acentropinae,Elophila,,Elophila,Elophila icciusalis,"[0.0, 5609.0, 1410.0, 6874.0]"
581951,0.10784851014614101,7498,7207,Jun 17 2024,297,AMA,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,Eucosmini,Epiblema,Epiblema,Epiblema strenuana,"[7978.0, 3306.0, 8086.0, 3482.0]"
820245,0.9480894207954401,11613,10355,Sep 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[3837.0, 4649.0, 4119.0, 5216.0]"
820246,0.9111353158950801,11613,10355,Sep 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8613.0, 6068.0, 8937.0, 6923.0]"
820247,0.8583987951278681,11613,10355,Sep 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7852.0, 5904.0, 8927.0, 6904.0]"
820248,0.9520073533058161,11613,10355,Sep 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5686.0, 878.0, 6944.0]"
820249,0.405680775642395,7257,10355,Sep 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Arctiina,Virbia,Virbia aurantiaca,"[8095.0, 1085.0, 8395.0, 1680.0]"
820250,0.9213976860046381,11613,10376,Jun 6 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7296.0, 5344.0, 9152.0, 6912.0]"
820251,0.47757658362388605,2817,10376,Jun 6 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Eupithecia,Eupithecia,Eupithecia tripunctaria,"[7647.0, 4927.0, 7980.0, 5050.0]"
820252,1.0,3314,10376,Jun 6 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Archipini,,Choristoneura,,"[5617.0, 3771.0, 5779.0, 3961.0]"
820253,0.952392578125,11613,10373,May 30 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[6571.0, 2878.0, 6886.0, 3373.0]"
820254,0.94245445728302,11613,10373,May 30 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7613.0, 5362.0, 9152.0, 6944.0]"
820255,0.48371908068656905,6578,10373,May 30 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Archipini,Choristoneura,Choristoneura,Choristoneura fractivittana,"[6732.0, 4704.0, 6927.0, 4896.0]"
820256,0.161478638648986,7330,10373,May 30 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria pinistrobata,"[3317.0, 588.0, 3586.0, 886.0]"
820257,1.0,6954,10373,May 30 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Drepanoidea,Drepanidae,Drepaninae,Drepanini,Drepana,Drepana,Drepana arcuata,"[5776.0, 4146.0, 6254.0, 4617.0]"
820258,0.941899001598358,11613,10375,Jun 4 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7894.0, 5378.0, 9152.0, 6940.0]"
820259,1.0,7279,10375,Jun 4 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria fissinotata,"[2653.0, 1526.0, 3043.0, 1793.0]"
820260,1.0,3946,10375,Jun 4 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,,Macaria,,"[3523.0, 2757.0, 3755.0, 3194.0]"
820261,0.075234442949295,5953,10375,Jun 4 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,Hemarina,Hemaris,Hemaris thysbe,"[3814.0, 5338.0, 4889.0, 6053.0]"
820262,0.8430770039558411,11613,10337,Jul 23 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[6976.0, 6220.0, 7144.0, 6432.0]"
820263,0.9030680060386651,11613,10337,Jul 23 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7405.0, 5928.0, 9085.0, 6944.0]"
820264,0.952796578407287,11613,10337,Jul 23 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5803.0, 901.0, 6944.0]"
820265,0.551624119281768,11613,10337,Jul 23 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8689.0, 6090.0, 8982.0, 6944.0]"
820266,0.91339510679245,11613,10337,Jul 23 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[277.0, 5120.0, 1371.0, 6218.0]"
820267,0.11198922246694501,4921,10337,Jul 23 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Xylenina,Eupsilia,Eupsilia morrisoni,"[7962.0, 4434.0, 8515.0, 4987.0]"
820268,0.18058253824710802,4906,10337,Jul 23 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Zygaenoidea,Limacodidae,Limacodinae,Tortricidia,,Tortricidia,Tortricidia pallida,"[8397.0, 5686.0, 8597.0, 5834.0]"
820269,0.13189773261547,7504,10337,Jul 23 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Bombycoidea,Apatelodidae,Apatelodinae,Apatelodes,,Apatelodes,Apatelodes torrefacta,"[55.0, 5099.0, 1370.0, 6943.0]"
820270,0.852307498455047,11613,10354,Sep 19 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[47.0, 5003.0, 1337.0, 6919.0]"
820271,0.8847161531448361,11613,10354,Sep 19 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7745.0, 5981.0, 8993.0, 6856.0]"
820272,0.950033545494079,11613,10354,Sep 19 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7910.0, 469.0, 8275.0, 888.0]"
820273,0.7369638681411741,11613,10354,Sep 19 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8584.0, 6057.0, 8949.0, 6939.0]"
820274,0.9329248070716851,11613,10354,Sep 19 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5708.0, 865.0, 6944.0]"
820275,0.8923073410987851,11613,10343,Aug 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5737.0, 871.0, 6882.0]"
820276,0.8793237805366511,11613,10343,Aug 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 3143.0, 254.0, 3774.0]"
820277,0.666527926921844,11613,10343,Aug 22 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7600.0, 5848.0, 9048.0, 6919.0]"
820278,0.131444007158279,6367,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Prochoerodes,Prochoerodes,Prochoerodes lineola,"[4970.0, 1286.0, 5323.0, 1562.0]"
820279,0.31441721320152205,4219,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Hypeninae,Hypena,,Hypena,Hypena scabra,"[752.0, 4766.0, 1151.0, 5168.0]"
820280,1.0,6924,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,,Desmia,,"[5620.0, 5848.0, 6217.0, 6091.0]"
820281,1.0,6365,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fiscellaria,"[7605.0, 5494.0, 8143.0, 6157.0]"
820282,0.206501945853233,2804,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Eupithecia,Eupithecia,Eupithecia intricata,"[2951.0, 5361.0, 3267.0, 5511.0]"
820283,1.0,6365,10343,Aug 22 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fiscellaria,"[2500.0, 311.0, 3171.0, 657.0]"
820284,0.677730917930603,11613,10265,Jun 9 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[803.0, 3992.0, 1179.0, 4363.0]"
820285,0.8221332430839531,11613,10265,Jun 9 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[438.0, 5779.0, 1655.0, 6347.0]"
820286,0.9519855380058281,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7328.0, 5201.0, 9152.0, 6936.0]"
820287,0.9506892561912531,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7139.0, 3493.0, 7404.0, 3752.0]"
820288,0.518368601799011,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[3.0, 5504.0, 1557.0, 6818.0]"
820289,0.9484512209892271,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[3151.0, 1607.0, 3314.0, 1786.0]"
820290,0.9191540479660031,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[8329.0, 4196.0, 8455.0, 4381.0]"
820291,0.7682973146438591,11613,10382,Jun 23 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[1655.0, 5411.0, 1969.0, 5755.0]"
820292,0.08721581846475601,66,10382,Jun 23 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Eriocranioidea,Eriocraniidae,Eriocrania,,,Eriocrania,Eriocrania semipurpurella,"[1198.0, 584.0, 1377.0, 728.0]"
820293,0.06602942198514901,7583,10382,Jun 23 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Sparganothini,Cenopis,Cenopis,Cenopis directana,"[8193.0, 628.0, 8330.0, 861.0]"
820294,0.28456437587738004,4546,10382,Jun 23 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris,Acleris semipurpurana,"[36.0, 4163.0, 173.0, 4308.0]"
820295,0.16093747317790902,4767,10382,Jun 23 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Archipini,Argyrotaenia,Argyrotaenia,Argyrotaenia quercifoliana,"[7874.0, 4238.0, 8018.0, 4494.0]"
820296,0.937474191188812,11613,10408,Oct 3 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[2159.0, 1532.0, 2814.0, 2243.0]"
820297,0.936347305774688,11613,10408,Oct 3 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7897.0, 5361.0, 9152.0, 6944.0]"
820298,0.146168768405914,7324,10408,Oct 3 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,Idia,,Idia,Idia americalis,"[4980.0, 5161.0, 5276.0, 5462.0]"
820299,0.938056409358978,11613,10292,Aug 29 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[7641.0, 5698.0, 8508.0, 6891.0]"
820300,0.49276524782180703,6453,10292,Aug 29 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Eupithecia,Eupithecia,Eupithecia miserulata,"[2552.0, 1039.0, 2725.0, 1468.0]"
820301,1.0,6365,10292,Aug 29 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ennomini,Lambdina,Lambdina,Lambdina fiscellaria,"[4215.0, 4383.0, 4791.0, 4852.0]"
820302,1.0,5489,10292,Aug 29 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,Pantheinae,Panthea,,Panthea,Panthea furcilla,"[1265.0, 4327.0, 1633.0, 4814.0]"
820303,0.688899755477905,11613,10262,May 26 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[7540.0, 5807.0, 8653.0, 6751.0]"
820304,0.591310441493988,11613,10262,May 26 2025,297,AMA,,,Not Lepidoptera,,,,,,,,"[550.0, 5637.0, 1776.0, 6236.0]"
820305,1.0,24,10262,May 26 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Bombycoidea,Saturniidae,Ceratocampinae,Dryocampa,,Dryocampa,Dryocampa rubicunda,"[4136.0, 4571.0, 4546.0, 5136.0]"
820306,0.26732474565505904,6,10262,May 26 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Campaeini,Campaea,Campaea,Campaea perlata,"[6468.0, 2604.0, 6878.0, 2820.0]"
820307,0.29296737909317,7279,10262,May 26 2025,297,AMA,Arthropoda,Insecta,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,Macaria,Macaria fissinotata,"[3371.0, 4731.0, 3817.0, 4955.0]"
